column_name,other_column,corr,abs_corr
Val_1,Val_5,0.9997041984976762,0.9997041984976762
Val_1,Val_19,0.996530629997622,0.996530629997622
Val_1,Val_6,0.991847868781551,0.991847868781551
Val_1,Val_4,0.9853541553058004,0.9853541553058004
Val_1,Val_20,0.9842350890646102,0.9842350890646102
Val_10,Val_9,0.999127252574237,0.999127252574237
Val_10,Val_27,0.9982397049323729,0.9982397049323729
Val_10,Val_7,0.997348711210161,0.997348711210161
Val_10,Val_28,0.9971677064025829,0.9971677064025829
Val_10,Val_8,0.9969773335325601,0.9969773335325601
Val_11,Val_9,0.9980709976187464,0.9980709976187464
Val_11,Val_10,0.9969363733331922,0.9969363733331922
Val_11,Val_27,0.9963515480489679,0.9963515480489679
Val_11,Val_28,0.9960300314000538,0.9960300314000538
Val_11,Val_8,0.9954166064883849,0.9954166064883849
Val_19,Val_5,0.9967678447259888,0.9967678447259888
Val_19,Val_1,0.996530629997622,0.996530629997622
Val_19,Val_6,0.9938035936652159,0.9938035936652159
Val_19,Val_20,0.9903709897540377,0.9903709897540377
Val_19,Val_4,0.9863044093600556,0.9863044093600556
Val_2,Val_5,0.9812696558352243,0.9812696558352243
Val_2,Val_1,0.9810397361053037,0.9810397361053037
Val_2,Val_19,0.9779430671247926,0.9779430671247926
Val_2,Val_6,0.9771577670511074,0.9771577670511074
Val_2,Val_3,0.9765163955193992,0.9765163955193992
Val_20,Val_6,0.9926762731028101,0.9926762731028101
Val_20,Val_19,0.9903709897540377,0.9903709897540377
Val_20,Val_4,0.9866700350037098,0.9866700350037098
Val_20,Val_5,0.9844178166120339,0.9844178166120339
Val_20,Val_1,0.9842350890646102,0.9842350890646102
Val_27,Val_7,0.9994003089488941,0.9994003089488941
Val_27,Val_28,0.9993870313463443,0.9993870313463443
Val_27,Val_8,0.9992773824622375,0.9992773824622375
Val_27,Val_9,0.9989592879593593,0.9989592879593593
Val_27,Val_10,0.9982397049323729,0.9982397049323729
Val_28,Val_8,0.9997868572738969,0.9997868572738969
Val_28,Val_27,0.9993870313463443,0.9993870313463443
Val_28,Val_7,0.9993001876542515,0.9993001876542515
Val_28,Val_9,0.9985796274401864,0.9985796274401864
Val_28,Val_32,0.9976241413054355,0.9976241413054355
Val_29,Val_32,0.9999397896135555,0.9999397896135555
Val_29,Val_28,0.9972835096422127,0.9972835096422127
Val_29,Val_8,0.9968135342372768,0.9968135342372768
Val_29,Val_7,0.9948422172444132,0.9948422172444132
Val_29,Val_27,0.9944761464297811,0.9944761464297811
Val_3,Val_34,0.9970434775070425,0.9970434775070425
Val_3,Val_33,0.9965550156742737,0.9965550156742737
Val_3,Val_5,0.9766827504723211,0.9766827504723211
Val_3,Val_2,0.9765163955193992,0.9765163955193992
Val_3,Val_1,0.9764184869206557,0.9764184869206557
Val_30,Val_31,0.9999425321117063,0.9999425321117063
Val_30,Val_28,0.9731790898766683,0.9731790898766683
Val_30,Val_7,0.972125029938355,0.972125029938355
Val_30,Val_27,0.9719910171875638,0.9719910171875638
Val_30,Val_9,0.9719123547603569,0.9719123547603569
Val_31,Val_30,0.9999425321117063,0.9999425321117063
Val_31,Val_28,0.9732987381268033,0.9732987381268033
Val_31,Val_7,0.9722564191894637,0.9722564191894637
Val_31,Val_27,0.9721803326185453,0.9721803326185453
Val_31,Val_9,0.9721780091176438,0.9721780091176438
Val_32,Val_29,0.9999397896135555,0.9999397896135555
Val_32,Val_28,0.9976241413054355,0.9976241413054355
Val_32,Val_8,0.997215102867159,0.997215102867159
Val_32,Val_7,0.9953877507202896,0.9953877507202896
Val_32,Val_27,0.99493317344297,0.99493317344297
Val_33,Val_34,0.9997893262577868,0.9997893262577868
Val_33,Val_3,0.9965550156742737,0.9965550156742737
Val_33,Val_5,0.9781649643809325,0.9781649643809325
Val_33,Val_1,0.9778845365293798,0.9778845365293798
Val_33,Val_19,0.9746531340071443,0.9746531340071443
Val_34,Val_33,0.9997893262577868,0.9997893262577868
Val_34,Val_3,0.9970434775070425,0.9970434775070425
Val_34,Val_5,0.9790211128063012,0.9790211128063012
Val_34,Val_1,0.9787423800571998,0.9787423800571998
Val_34,Val_19,0.97574975988189,0.97574975988189
Val_38,Val_39,0.6581787838915235,0.6581787838915235
Val_38,Val_46,0.6372846203908343,0.6372846203908343
Val_38,Val_45,0.58400819466866,0.58400819466866
Val_38,Val_40,0.5795936554627702,0.5795936554627702
Val_38,Val_42,0.5234587773210578,0.5234587773210578
Val_39,Val_45,0.8672151504489285,0.8672151504489285
Val_39,Val_46,0.8444455799244951,0.8444455799244951
Val_39,Val_40,0.8252738083617144,0.8252738083617144
Val_39,Val_42,0.7450795133487813,0.7450795133487813
Val_39,Val_44,0.7384879163356511,0.7384879163356511
Val_4,Val_6,0.9915368119410289,0.9915368119410289
Val_4,Val_20,0.9866700350037098,0.9866700350037098
Val_4,Val_19,0.9863044093600556,0.9863044093600556
Val_4,Val_5,0.9855718059543377,0.9855718059543377
Val_4,Val_1,0.9853541553058004,0.9853541553058004
Val_40,Val_43,0.9122527540740182,0.9122527540740182
Val_40,Val_39,0.8252738083617144,0.8252738083617144
Val_40,Val_46,0.805067895779357,0.805067895779357
Val_40,Val_42,0.786660518349091,0.786660518349091
Val_40,Val_47,0.7425304143763868,0.7425304143763868
Val_42,Val_40,0.786660518349091,0.786660518349091
Val_42,Val_39,0.7450795133487813,0.7450795133487813
Val_42,Val_43,0.7307994478821097,0.7307994478821097
Val_42,Val_46,0.7233032777645426,0.7233032777645426
Val_42,Val_45,0.6704181896744755,0.6704181896744755
Val_43,Val_40,0.9122527540740182,0.9122527540740182
Val_43,Val_47,0.794907889541801,0.794907889541801
Val_43,Val_42,0.7307994478821097,0.7307994478821097
Val_43,Val_39,0.6853204733295422,0.6853204733295422
Val_43,Val_45,0.617777794465728,0.617777794465728
Val_44,Val_19,0.9121609215861092,0.9121609215861092
Val_44,Val_6,0.9105056340876324,0.9105056340876324
Val_44,Val_20,0.9101376613725779,0.9101376613725779
Val_44,Val_5,0.9082983720502805,0.9082983720502805
Val_44,Val_1,0.9081583392298068,0.9081583392298068
Val_45,Val_39,0.8672151504489285,0.8672151504489285
Val_45,Val_46,0.7797593936265504,0.7797593936265504
Val_45,Val_40,0.7395481553664888,0.7395481553664888
Val_45,Val_44,0.7365435535905698,0.7365435535905698
Val_45,Val_42,0.6704181896744755,0.6704181896744755
Val_46,Val_39,0.8444455799244951,0.8444455799244951
