row_index,TrendDate,Val_1_before,Val_1_at,Val_1_after,Val_5_before,Val_5_at,Val_5_after,Val_6_before,Val_6_at,Val_6_after,Val_7_before,Val_7_at,Val_7_after,Val_28_before,Val_28_at,Val_28_after,Val_38_before,Val_38_at,Val_38_after,Val_44_before,Val_44_at,Val_44_after
7590,2026-02-21 11:41:18+00:00,8.69999981,0.0,0.0,5.69999981,0.0,0.0,77.5999985,6.80000019,2.70000005,155.100006,154.300003,153.5,162.600006,161.800003,161.399994,NaN,0.0,0.0,0.0,0.0,0.0
17818,2026-02-28 11:19:37+00:00,5.9000001,0.100000001,0.100000001,4.19999981,0.0,0.0,50.7999992,2.4000001,2.20000005,162.899994,162.100006,161.199997,166.800003,165.899994,164.899994,NaN,NaN,NaN,0.0,0.0,0.0
20563,2026-03-02 08:18:19+00:00,12.8000002,0.0,0.0,6.4000001,0.0,0.0,74.1999969,5.4000001,5.19999981,178.0,176.800003,175.800003,174.899994,174.899994,174.800003,4.0999999,15.1999998,29.5,0.0,1.29999995,4.69999981
27451,2026-03-07 01:22:37+00:00,9.69999981,0.0,0.0,6.80000019,0.0,0.0,83.5,3.0,3.0,177.399994,176.199997,175.199997,174.600006,174.600006,174.699997,-0.200000003,1.20000005,19.2000008,0.0,3.9000001,8.69999981
27498,2026-03-07 02:09:39+00:00,7.30000019,0.0,0.0,2.9000001,0.0,0.0,10.8000002,4.4000001,4.4000001,162.300003,161.300003,160.300003,167.0,166.0,165.199997,NaN,0.0,0.0,0.0,0.0,0.0
