phase_segment_id,phase_label,start_window_id,end_window_id,window_count,start_time,end_time,duration_minutes,mean_speed,mean_load,mean_pressure,mean_temperature,mean_core_outlier_fraction
1,off,1,20,20,2026-02-16 07:05:36+00:00,2026-02-16 08:52:40+00:00,107.06666666666666,0.05433333387666667,0.0,2.3486666680000003,123.05830294903028,0.2833333333333333
2,transition,21,21,1,2026-02-16 08:43:40+00:00,2026-02-16 08:57:40+00:00,14.0,1.0399999719333333,0.9266667046666668,9.000000093333334,177.65757539393937,0.13333333333333333
3,ramp_up,22,27,6,2026-02-16 08:48:40+00:00,2026-02-16 09:26:41+00:00,38.016666666666666,54.902222886855554,35.85333317566667,171.24555534222225,175.0648483,0.26666666666666666
4,ramp_down,28,28,1,2026-02-16 09:17:41+00:00,2026-02-16 09:31:41+00:00,14.0,101.89333295333334,66.81333312,347.9266642666667,173.95878831515154,0.26666666666666666
5,transition,29,29,1,2026-02-16 09:22:41+00:00,2026-02-16 09:36:42+00:00,14.016666666666667,96.75333307999999,63.41999969333334,345.6800008,173.9569701151515,0.3333333333333333
6,ramp_up,30,31,2,2026-02-16 09:27:41+00:00,2026-02-16 09:46:42+00:00,19.016666666666666,108.51666540333332,71.17333349333333,354.0900024,173.92121243939394,0.5
7,stable_run,32,68,37,2026-02-16 09:37:42+00:00,2026-02-16 12:49:49+00:00,192.11666666666667,113.94288291351353,74.5145944682883,370.21855815855855,173.9962817195741,0.07207207207207207
8,ramp_down,69,69,1,2026-02-16 12:40:49+00:00,2026-02-16 12:54:49+00:00,14.0,117.78666673333333,76.90000050666666,369.2733337333333,174.13333324242424,0.13333333333333333
9,transition,70,71,2,2026-02-16 12:45:49+00:00,2026-02-16 13:03:50+00:00,18.016666666666666,113.98333349999999,74.43666713666667,370.2966644666667,173.90060591515152,0.0
10,stable_run,72,103,32,2026-02-16 12:55:49+00:00,2026-02-16 15:41:55+00:00,166.1,111.04479158333334,72.542708430625,373.2693756625,173.99638293541665,0.043750000000000004
11,ramp_up,104,106,3,2026-02-16 15:32:55+00:00,2026-02-16 15:56:56+00:00,24.016666666666666,120.2533351111111,78.76444481333334,375.6866698666667,174.19535413535354,0.2222222222222222
12,transition,107,108,2,2026-02-16 15:47:56+00:00,2026-02-16 16:06:56+00:00,19.0,125.27666726666666,82.27666651666667,374.5566670666667,174.4384851121212,0.16666666666666666
