stable_run_id,start_window_id,end_window_id,analysis_row_id_start,analysis_row_id_end,start_time,end_time,window_count,sample_count,duration_minutes,source_row_count_total,source_conflicting_timestamp_count,core_outlier_fraction,modeling_outlier_fraction,front_temp_mean,rear_temp_mean,temperature_mean,temperature_spread_mean,mean_Val_1,std_Val_1,mean_Val_5,std_Val_5,mean_Val_6,std_Val_6,mean_Val_7,std_Val_7,mean_Val_8,std_Val_8,mean_Val_9,std_Val_9,mean_Val_10,std_Val_10,mean_Val_11,std_Val_11,mean_Val_27,std_Val_27,mean_Val_28,std_Val_28,mean_Val_29,std_Val_29,mean_Val_30,std_Val_30,mean_Val_31,std_Val_31,mean_Val_32,std_Val_32,mean_Val_2,std_Val_2,mean_Val_3,std_Val_3,mean_Val_4,std_Val_4,mean_Val_19,std_Val_19,mean_Val_20,std_Val_20,mean_Val_33,std_Val_33
1,32,68,156,350,2026-02-16 09:37:42+00:00,2026-02-16 12:49:49+00:00,37,195,192.11666666666667,195,0,0.08205128205128205,0.09230769230769231,172.96964098871797,174.85324785299144,173.99706291468533,7.5061558307692335,114.39179486153847,4.390845096604358,74.8102563323077,2.74698886267349,370.09538433846154,2.3175188882254623,174.94000009230774,0.837603621949025,175.1379487641026,0.9249236187647877,174.77897440512822,0.8074772498290603,170.00307664615386,0.3645737137056393,169.98820503589744,0.19589337199270204,169.94717939487182,0.7603844965964383,174.99589834358977,0.14947303339374682,174.9999996153846,0.08770702985643146,176.92051243589745,0.2964572455691735,177.03794884102567,0.21145698076123465,175.21794848717946,0.4241867156879709,42.815384615384616,0.8144648900960746,76.37948717948719,4.057230297349792,10.419487133846154,0.023419107784239643,37.5,0.0,17.6287178174359,0.1878237602403343,5.960512846461538,0.6153004407252803
2,72,103,356,525,2026-02-16 12:55:49+00:00,2026-02-16 15:41:55+00:00,32,170,166.1,170,0,0.041176470588235294,0.052941176470588235,172.98305879529414,174.83333399509803,173.992299813369,7.4417693294117715,111.12352936470589,2.019705385519408,72.58823543117647,1.1581334137237922,373.2364711882353,1.6151018276457632,175.02294105294118,0.8298848990989778,174.90117671764705,0.6410457697242036,174.99117647058824,0.14218446404298365,169.99882319411765,0.07969944181731947,170.00117654117648,0.04600561851507388,169.92176477647058,0.679486783269374,175.00411754117647,0.14767057929009375,174.99941164117647,0.05257999806005274,177.07118030000004,0.051380886562185146,176.99941190588234,0.07631297813673399,175.00411780588234,0.0577611627418139,43.04705882352941,0.33975362536926235,78.8,0.5594114554338231,10.415823476470587,0.020938946925189935,37.5,0.0,17.80294075294118,0.15845815174679853,6.348823589352941,0.08894039566775563
3,109,113,541,575,2026-02-16 15:57:56+00:00,2026-02-16 16:31:57+00:00,5,35,34.016666666666666,35,0,0.0,0.0,172.9474285885714,174.83761944761903,173.9784417844156,7.917145171428574,118.46857117142858,3.543345675673104,77.39714268,2.229090856255678,377.7171421714286,2.5456378482804696,174.71428657142854,1.1887906302039002,175.11999991428576,1.8070975522769324,174.9057137714286,0.14529406132020464,169.99428537142853,0.05827800519730271,170.00285731428573,0.08447015568616369,169.7685712571429,0.6968375337358391,175.00857237142858,0.12506421279466026,174.9942853714286,0.06299065831288966,177.257145,0.18865765781557073,177.00000000000003,0.06761639711870916,174.99714268571427,0.060881583397740836,44.8,0.6676183683170241,83.28571428571429,1.0842094834863016,10.414857119999997,0.01841914182007093,37.5,0.0,17.899999542857145,0.18047571423556677,7.099999988571428,0.19566729444213804
4,183,215,911,1085,2026-02-16 22:03:10+00:00,2026-02-17 00:57:16+00:00,33,175,174.1,175,0,0.06857142857142857,0.08,172.9940570605714,174.8238095809524,173.99210388987012,7.522287994285717,110.47314309142857,2.5768018883123793,72.21028560114287,1.4324831088156007,353.55657207999997,3.520607593317209,175.00057137714288,0.6370015477455926,174.97085650857144,0.6212495967767628,174.9960002742857,0.19014609401442367,169.99999991428572,0.09008026268122546,170.00285722857143,0.05700294452409258,169.8737141657143,0.7497772881246809,175.00000025714286,0.154919831847931,174.9902854742857,0.06901606027567504,177.06285774285715,0.1738409097235004,176.9994289657143,0.08315335708759225,175.01657088,0.12004781050889833,42.25142857142857,0.5178921170455862,73.68571428571428,0.7548482750641662,10.415314229714285,0.021481896758328,37.5,0.0,17.67599986971429,0.15926949857181166,5.530285691428572,0.11387917939825613
5,221,395,1101,1985,2026-02-17 01:13:17+00:00,2026-02-17 15:46:50+00:00,175,885,873.55,885,0,0.04067796610169491,0.04180790960451977,172.9894011143503,174.84273085103578,174.00030824345146,7.431979455367234,106.51480216214688,3.7238786686620435,69.66406776779661,2.298089902005386,366.6754802124293,5.365757165727589,174.9903954124294,0.7442195103568962,174.98644076271185,0.7013120214239322,174.98677959661015,0.18311614091596012,169.9831638485876,0.123870704683243,170.00022595141243,0.04252123195180947,169.94316387231638,0.638263034106464,175.0002264259887,0.14775174644371114,174.99886998870056,0.04607838478253505,177.03830546779662,0.1349270188699121,176.99920890734464,0.08403638679156783,175.0766104440678,0.1008767177731242,41.97853107344633,0.8547587563285423,73.97514124293785,2.1406617877784786,10.417141208361581,0.018711852968431662,37.5,0.0,17.76282439141243,0.10210708537495886,5.5630508346553675,0.3221428328201859
6,398,983,1986,4925,2026-02-17 15:47:50+00:00,2026-02-19 16:00:39+00:00,586,2940,2892.8166666666666,2940,0,0.06428571428571428,0.06564625850340136,172.99675506857145,174.8671887909297,174.01699164440322,7.500104939795922,106.6761905202381,3.5486153403518914,69.74221087394558,2.1317579935738977,382.60431956870747,6.071252952667634,174.99765312959184,0.6467485013384685,175.00367348571427,0.8153543882111811,175.00068002721088,0.15577244139439514,169.98221092925172,0.12451310369152853,169.99955777108843,0.04225762038068369,169.924557970068,0.6710907033387632,175.00074871156463,0.14703278381229767,174.99894546394557,0.04661104583191533,177.11095462482993,0.09556001831314459,176.9996938132653,0.07904911464543672,175.16823216190477,0.1039886387868936,42.909183673469386,0.6783212673757625,75.371768707483,1.9640178867385456,10.417081599387755,0.016528307500131414,37.5,0.0,17.6323127537415,0.21338693974783157,5.7844557666972785,0.29783780710819835
7,986,1015,4926,5085,2026-02-19 16:01:39+00:00,2026-02-19 18:36:45+00:00,30,160,155.1,160,0,0.04375,0.04375,173.03300003,174.87208415833334,174.03613682727274,7.532501762500002,107.81312483125001,2.9431512926299956,70.4512496925,1.5975371417507398,389.766875075,1.8239978829256076,174.97875050625,0.4037929748383606,175.13687505624998,1.0957657061353276,175.05124998124998,0.2428953029308729,169.99999971875,0.07583107880696142,169.99812488749998,0.039486345218791526,169.96750058125,0.5626439229636762,174.98812531875,0.1659716525785873,175.0018751125,0.05058869894205757,177.19062640625003,0.07482901013746888,176.99812563749998,0.08694463342053711,175.08625189375002,0.07944147748190157,43.65,0.6910137480542627,77.625,1.595893166850463,10.414812474375001,0.015849848278809548,37.5,0.0,17.763124565000002,0.11864940916047029,6.15375001625,0.2669007020235124
8,1021,1396,5101,6990,2026-02-19 18:52:45+00:00,2026-02-21 01:48:55+00:00,376,1890,1856.1666666666667,1891,1,0.05396825396825397,0.05396825396825397,172.99534393280422,174.8457589681658,174.0046612248196,7.4961137587301625,105.67523818650793,2.946491140749108,69.09261905992064,1.7207386067646657,392.7130156936508,3.2354141043303866,174.99960324999998,0.5603439911802431,175.0038360978836,0.8106742778319449,174.992328010582,0.16981025969424404,169.98201060978838,0.12659328118001686,169.99894169576717,0.04152018948998015,169.90624355052913,0.7281948786687334,175.00013291402115,0.14562926818833957,175.0001058899471,0.049869728823219044,177.0722233650794,0.10361726658968462,177.00039687301586,0.08071532326371869,175.09545121640213,0.08825404716061909,42.45978835978836,0.5697135246612685,75.19603174603175,1.8697848443260936,10.416587261719577,0.01592126801375352,37.5,0.0,17.500211664867724,0.2004225365736365,5.752380922148149,0.2783495254946112
9,1400,1511,6996,7565,2026-02-21 01:53:56+00:00,2026-02-21 11:16:17+00:00,112,570,562.35,570,0,0.054385964912280704,0.054385964912280704,172.99021049157892,174.8664919631579,174.01363674880383,7.514739463157897,104.8015789308772,2.4273835101613845,68.54438584842106,1.315165832612648,396.2678940210526,2.2565090249156086,175.00649143333334,0.5694658613761873,174.98631586315793,0.6587781511895531,174.99806977017545,0.11673949639927471,169.95999991578947,0.1573242743907482,170.0001754754386,0.03816115531243033,169.93140360350876,0.646132462398002,174.99859661754385,0.15159378664302095,175.00087719298244,0.0547675567991264,177.14158141578946,0.081050081482304,177.0010524842105,0.08563183340590991,175.12544046491226,0.07724415127252911,42.14912280701754,0.46702597959877007,75.51578947368421,1.081225664759587,10.416719257719297,0.016970863586179816,37.5,0.0,17.426666797894736,0.17648932275997498,5.791578896807018,0.15705394916190935
10,2054,3509,10266,17555,2026-02-23 07:29:57+00:00,2026-02-28 07:04:27+00:00,1456,7290,7174.5,7292,2,0.05761316872427984,0.058710562414266115,173.58551159832646,174.70085300046867,174.19387963585862,7.369046823182442,98.45037723170783,5.609547985690182,64.34980108279836,3.5583610112607604,385.19723602277094,6.96998426129085,175.00013033978053,0.4152300779434663,175.00722223374487,0.7247734787552318,175.00142630644714,0.12770373845753902,172.91940324444445,2.4591161479732895,169.99937586721535,0.08016769343670906,169.923038464952,0.6824603081298489,175.00026095322357,0.14970051863559936,174.99977366954732,0.049557679913494794,176.25819003662554,0.2800828324653691,177.000281205487,0.0805466233952298,175.02357367297668,0.07986905069572013,40.68093278463649,1.1834390874360181,72.35329218106996,2.6972105182809045,10.417101477043895,0.01765898534173615,35.45626990120715,1.3693202402955853,18.571269021563786,0.7133920810453083,5.336282577703704,0.39077728691603414
