cluster_id,stable_run_id,start_window_id,end_window_id,analysis_row_id_start,analysis_row_id_end,start_time,end_time,window_count,sample_count,duration_minutes,pressure_regime,source_row_count_total,source_conflicting_timestamp_count,core_outlier_fraction,modeling_outlier_fraction,front_temp_mean,rear_temp_mean,temperature_mean,temperature_spread_mean,mean_pressure_per_rpm,std_pressure_per_rpm,delta_pressure_per_rpm,cv_pressure_per_rpm,mean_load_per_pressure,std_load_per_pressure,delta_load_per_pressure,cv_load_per_pressure,mean_load_per_rpm,std_load_per_rpm,delta_load_per_rpm,cv_load_per_rpm,mean_pressure_to_temperature,std_pressure_to_temperature,delta_pressure_to_temperature,cv_pressure_to_temperature,mean_front_rear_temp_gap,std_front_rear_temp_gap,delta_front_rear_temp_gap,cv_front_rear_temp_gap,lag1_corr_pressure_load,lag1_corr_pressure_temperature,pressure_load_corr,pressure_temperature_corr,mean_Val_1,std_Val_1,mean_Val_5,std_Val_5,mean_Val_6,std_Val_6,mean_Val_7,std_Val_7,mean_Val_8,std_Val_8,mean_Val_9,std_Val_9,mean_Val_10,std_Val_10,mean_Val_11,std_Val_11,mean_Val_27,std_Val_27,mean_Val_28,std_Val_28,mean_Val_29,std_Val_29,mean_Val_30,std_Val_30,mean_Val_31,std_Val_31,mean_Val_32,std_Val_32,mean_Val_2,std_Val_2,mean_Val_3,std_Val_3,mean_Val_4,std_Val_4,mean_Val_19,std_Val_19,mean_Val_20,std_Val_20,mean_Val_33,std_Val_33
1,1,129,129,129,133,2026-02-16 09:10:41+00:00,2026-02-16 09:14:41+00:00,1,5,4.0,mid,5,0,0.0,0.6,174.13199952,174.42666676666664,174.2927271090909,6.739999399999999,3.760339973856376,0.19761538626435485,0.3255323526775622,0.052552531855701475,0.17499666904821665,0.006827572039971576,-0.009204515898067006,0.03901543999154854,0.6568433613862943,0.017484942664756892,0.02635669322788048,0.026619653470888734,1.707512805371604,0.10994009034636394,0.30573001463919214,0.06438610006350015,-0.2946672466666769,0.1173708910055723,-0.31333113333329266,0.39831671939548974,0.7864207267636435,-0.8867554743792342,0.8107521186316968,-0.88932387663208,79.14000094000001,2.9702535953693094,52.000000019999995,2.740073015085677,297.5799988,18.75563047706034,175.35999759999999,0.13564323802917286,175.7600006,0.38781677119413277,176.7,0.2000015000393766,170.7,0.46904093639894506,172.1399994,2.4352424043631973,170.4399994,0.41279656978109847,174.92000120000003,0.2039577211319994,176.14000240000001,0.4673331659587626,174.5199982,0.29257510490361316,175.6600006,0.10198003732221277,174.87999879999998,0.16000285002637032,32.8,0.7483314773547882,42.0,1.6733200530681511,3.0179999840000002,0.05035866654313019,10.6999998,0.0,9.460000038,0.23323826152681149,1.779999994,0.15999998675000165
4,2,138,145,138,149,2026-02-16 09:19:41+00:00,2026-02-16 09:30:41+00:00,8,12,11.0,high,12,0,0.16666666666666666,0.3333333333333333,173.4416671666667,174.33888943055555,173.9310611287879,6.916666666666667,3.362808107393064,0.130030160215352,0.2884585745421875,0.03866713653077122,0.19576694239442663,0.008341453615580469,-0.021202627530582108,0.04260910199421874,0.6572862043877125,0.008081433201039193,-0.015052560233870582,0.012295151103266134,2.004523343692145,0.05007904402052908,0.18010978148077172,0.024983018620420832,-0.8972222638888875,0.38371468229320155,-0.6733312333333288,0.4276695950789748,-0.5243572677917743,-0.23259526628229382,-0.07913331271217999,0.29423501703609867,103.77499965,3.252211296821283,68.20833300833333,2.2496134973908255,348.6499965,8.760755143444547,175.57500075,0.31655792653165643,175.56666816666666,0.2748744359954306,175.60833233333332,0.3729584948836665,170.50000125000003,0.8306609115705303,169.95833333333334,0.30945813756046137,170.20833208333332,0.421225089953194,175.12499875,0.12332313590328932,174.67500175,0.07216661867179616,174.52500024999998,0.3058438395437329,176.62500125000005,0.41256402029808875,174.87500250000002,0.17853592079676878,38.0,0.5773502691896257,53.5,1.9364916731037085,4.562500020833334,0.9103215731702691,13.124999834999999,2.3338540866093944,9.091666698333333,0.7707770541797841,2.9166666458333332,0.1950782844996832
5,3,159,187,159,191,2026-02-16 09:40:42+00:00,2026-02-16 10:12:43+00:00,29,33,32.016666666666666,high,33,0,0.09090909090909091,0.12121212121212122,172.65272743636365,174.98636365151515,173.9256199173554,7.763636727272727,3.1632890782003638,0.13594724399286456,0.5413517466039148,0.042976547710968836,0.2071432572817284,0.008924455026520804,-0.027294618928312475,0.043083492765506534,0.6541060123163684,0.00906443723752967,0.027633537602770764,0.013857749457813444,2.1183386480027586,0.008737228163328567,0.004802149535960698,0.004124566282905862,-2.333636215151508,0.4368551193987683,0.3766677666666851,0.18719932291177874,0.36330022896439285,0.007624633998053338,0.2878826072923565,0.20060254281644732,116.69696966666667,5.277136214192887,76.32121207272728,3.3693591927535746,368.43333478787883,1.5506906744257571,174.6545460909091,0.9534911687238562,174.89090936363638,1.2553804287751054,174.003030030303,1.198606833011496,169.8242418787879,0.4320711688701693,169.8909098181818,0.3848384377366756,170.05151506060608,0.8499978636698255,174.96969878787877,0.15272312106926403,175.00909054545454,0.17296625576177538,176.6242416969697,0.43902679647757414,177.17272718181817,0.4002062340425397,176.09090863636362,0.22342206661151168,42.27272727272727,0.44536177141512323,70.36363636363636,2.1576949235051996,10.420605972727273,0.027073348353576616,37.5,0.0,17.706060521212123,0.14962419111867342,5.027272744545454,0.2688614831134081
5,4,194,294,194,298,2026-02-16 10:15:43+00:00,2026-02-16 11:58:47+00:00,101,105,103.06666666666666,high,105,0,0.0380952380952381,0.047619047619047616,173.00133335619046,174.8104759619048,173.9881384138528,7.4447634476190485,3.2648363534807663,0.08527145705276717,-0.09430165716560746,0.02611814125441725,0.20046815918763414,0.004399894609846818,0.0009890728284930317,0.02194809703284902,0.6541785160867114,0.009155965958339977,-0.015549989884149018,0.0139961275602734,2.1282490451599574,0.010343097831343696,0.021476976073091514,0.004859909536840091,-1.8091426057142883,0.19008599416049682,0.06999369999999772,0.10506965761576699,0.40288786697392603,0.15971600054235047,0.42639577058675415,0.4099225950430752,113.49999998095238,3.201368933679597,74.23333296857142,1.75600574114238,370.2904759047619,1.9008525446341396,175.00952395238093,0.7494160679612518,174.9952383809524,0.4546859673495311,175.00857165714285,0.15188667155762578,169.99904741904763,0.07987747303676516,169.99428537142856,0.041010175018325934,169.87142857142857,0.825742611321261,174.995238952381,0.15758970555998736,174.99523780952381,0.046562437622761674,176.97047470476193,0.06004057201576219,176.99904727619048,0.08782850687870856,175.03142845714285,0.11490369754231566,42.82857142857143,0.6242274136447215,77.26666666666667,2.152591645819242,10.418095227619046,0.021071095850673936,37.5,0.0,17.531428582857142,0.16464348898636405,6.083809536285714,0.33809663888832836
5,5,301,339,301,343,2026-02-16 12:01:47+00:00,2026-02-16 12:42:49+00:00,39,43,41.03333333333333,high,43,0,0.046511627906976744,0.046511627906976744,173.05813918604653,174.84573706201547,174.03319257293873,7.341864581395354,3.2931493796354214,0.11120236000750383,-0.026875297167068712,0.033767784934133425,0.1987073431052499,0.007037101261789094,-0.002576181394612659,0.035414399648339784,0.6536612424673806,0.009311456539332866,-0.01368463429953326,0.014245079766676747,2.1363085056965576,0.008085401984701202,-0.028305733539306654,0.0037847539169277907,-1.787597875968992,0.20991915070010952,1.0066680666667196,0.11743085708597632,-0.2644713949539166,-0.06429406871790133,-0.1718183612075503,0.015170284610625038,113.02790706976745,3.8854121106879655,73.87441874883721,2.5511596876101605,371.78836846511626,1.380633194988031,175.14185990697672,0.6588341106895463,175.1534878139535,0.6318487402184487,175.00232502325582,0.09520826059394931,169.99302318604649,0.1149243771204531,169.99999999999997,0.04822717567397789,169.99767427906974,0.49391161092867153,175.00232606976743,0.13027385687678553,174.99767427906977,0.054938234752219886,177.0697695348837,0.07635616006838233,176.98604776744185,0.10248637058922117,175.02093044186046,0.05929132140867004,43.116279069767444,0.6179223374691358,79.13953488372093,0.593820713246684,10.418837113953488,0.023743722270896963,37.5,0.0,17.760464576744187,0.11440322642073429,6.413953573953488,0.06675668005582332
6,6,342,343,342,347,2026-02-16 12:41:49+00:00,2026-02-16 12:46:49+00:00,2,6,5.0,high,6,0,0.16666666666666666,0.16666666666666666,173.77333423333334,174.8555552222222,174.3636365909091,8.666666666666666,3.062315642369756,0.06287640598369797,-0.09333907217277737,0.020532307353869444,0.21281869677433804,0.004422199018202242,-0.0010233597153492813,0.02077918474846838,0.6515064584992079,0.009346253073129675,-0.0230951680393936,0.014345603103704365,2.1145501207715536,0.006977905016520954,0.002638645479109414,0.0032999477988135215,-1.0822209888888732,0.37503473763655576,-0.47000420000003373,0.34654173360803836,0.8860491486370526,-0.6797094290709644,0.22098597763082747,-0.669951350373804,120.45000066666667,2.502499537130139,78.46666716666668,1.664999791458488,368.700002,1.032789265410253,175.43333183333334,1.1799265325563613,178.36666866666667,1.2188340694683957,175.01666766666668,0.0687225501992585,170.01666766666668,0.0687225501992585,170.03333533333333,0.07454007138595364,170.0,0.3741641351385759,174.91666666666666,0.08975163265676733,175.0,0.0,177.21666466666662,0.03727003569297683,177.03333533333333,0.04714328050623149,174.96666466666667,0.04714328050623149,44.333333333333336,0.4714045207910317,81.0,0.0,10.425000033333333,0.012583163358190003,37.5,0.0,17.7666664,0.04713969783186846,6.683333158333333,0.037267766083976576
5,7,347,470,347,474,2026-02-16 12:46:49+00:00,2026-02-16 14:51:54+00:00,124,128,125.08333333333333,high,128,0,0.0234375,0.03125,172.9824998640625,174.83307348697917,173.9919036583807,7.430473250000006,3.3453459702591744,0.07995692616167677,0.1467560667658412,0.02390094384034135,0.19535531357206642,0.004315747050055246,-0.010204066139087947,0.022091782256350917,0.653238899056757,0.00847621307692022,-0.0007172571225597668,0.012975671058718993,2.1416556447198474,0.009047593815705078,0.024136261976220208,0.004224579165194695,-1.8505736229166665,0.2500464337876716,0.17333573333331742,0.13511833881733193,-0.4426897931559572,0.35454182177581695,-0.38401545243395446,0.5847130690838258,111.447656390625,2.5415288606836395,72.79140627578124,1.4458467988956762,372.631250140625,1.7086991343984879,174.986718421875,0.7568822757770713,174.93906282812497,0.7271772255443166,174.99218738281252,0.15186850468374602,169.99687457812502,0.07998046950805407,169.997656109375,0.04915965632972991,169.9218751171875,0.6462558216949895,175.0093749765625,0.14221341956817207,174.9984372890625,0.05446666245658,177.07265967187504,0.05689326832092065,177.0000003515625,0.07395448357875602,174.996093515625,0.05916744263093227,43.1171875,0.4779692352482009,79.0390625,0.7115382077539828,10.4158593390625,0.021777517912847953,37.5,0.0,17.7968745625,0.13106380513310534,6.385937563203125,0.1066055672331479
5,8,475,501,475,505,2026-02-16 14:52:54+00:00,2026-02-16 15:21:55+00:00,27,31,29.016666666666666,high,31,0,0.06451612903225806,0.0967741935483871,172.96580662580644,174.8424739892473,173.9894433695015,7.448392225806458,3.3694797066677222,0.06952744580171386,0.2732355550475676,0.020634475306121863,0.19371320152574148,0.003223487210552466,-0.008290798551434386,0.016640513837793934,0.6525441913639441,0.008918586585426946,0.026048093165268682,0.013667406289810606,2.149480817503642,0.008008402077695051,0.012015179364165185,0.0037257378677125513,-1.8766673634408622,0.34802215531900443,-0.7199991999999327,0.1854469055618398,-0.08414771853504598,0.11876687431998202,0.005420893253380524,0.31833427475303666,111.0387087419355,2.2801630376936464,72.44516163870966,1.1733156927192578,373.987097935484,1.461049283140822,174.96774241935483,1.2332458942174687,174.85161270967745,0.5890772273919752,175.00645248387096,0.10139633662113019,169.99999951612904,0.08032554741192037,170.003226,0.017669529705118,169.99032296774192,0.7270585637092325,174.983870483871,0.1322186605940401,175.00000000000003,0.050803098803128055,177.08064999999993,0.039510269551095656,177.00000048387096,0.07620337823892435,175.0,0.05679959119571628,43.064516129032256,0.24567010018915833,78.41935483870968,0.6103512234975645,10.417741848387093,0.021954511103994396,37.5,0.0,17.761290012903228,0.19785504989862995,6.28064512580645,0.11755409327187791
5,9,507,525,507,529,2026-02-16 15:23:55+00:00,2026-02-16 15:45:56+00:00,19,23,22.016666666666666,high,23,0,0.043478260869565216,0.043478260869565216,172.9756518869565,174.82826176086957,173.98616636363636,7.517395608695658,3.3509372323281337,0.0629956539218347,-0.2621457822191928,0.01879941328476247,0.19502241620782268,0.0030209064412631452,0.012061109428124744,0.015490047246896798,0.6533603582954193,0.007734157506898368,-0.011506942155824706,0.011837506528673325,2.150767011554566,0.006947829549357935,-0.0020201126533350156,0.0032303961851897997,-1.8526098739130445,0.1793767415436144,0.6166631666666547,0.0968238073592572,0.29691674178738664,0.356759304393359,0.24327667504560668,0.8183002832255466,111.70869621739129,2.01621991169888,72.9782615347826,1.1635613643892226,374.20434965217385,1.4195749708914418,174.882608826087,0.6932286335626211,174.98695573913045,0.3327158003398073,174.99565060869566,0.12328314965460704,170.00869617391305,0.05833570804118111,170.0043480869565,0.05499943298831703,169.83043504347825,0.7351029944805697,175.00869486956523,0.17423923869890637,175.00434808695653,0.046424864681422796,177.07826556521744,0.04124957474123777,177.0086948695652,0.07753427932733595,175.0391321304348,0.06419710029636547,43.04347826086956,0.20393111999232302,78.82608695652173,0.3790346907426673,10.415217299999998,0.019752735592801753,37.5,0.0,17.90434744347826,0.2255011591525745,6.3652175021739135,0.056017830404765316
5,10,537,575,537,579,2026-02-16 15:53:56+00:00,2026-02-16 16:35:57+00:00,39,43,42.016666666666666,high,43,0,0.0,0.023255813953488372,173.0637207767442,174.85930272093023,174.0431291099366,8.053490534883723,3.1837096178174473,0.12922782739089325,0.1190842137314343,0.04059033106150045,0.2057782024418005,0.00806348185703866,-0.01144586079839105,0.039185306127451594,0.654152148354951,0.0085927069860651,-0.009898081121349378,0.013135639786055692,2.165124981124655,0.03304382603444244,-0.14930637332871366,0.015261856161891458,-1.7955819441860492,0.5320909426679277,-0.810001600000021,0.29633342237083393,-0.17209721365721653,-0.41628032956606587,-0.09913306344986175,-0.3509770929401059,118.5232552093023,4.340069606653163,77.52093026744187,2.70353371912059,376.8209292558139,5.506468155516071,174.83488427906977,1.1043004472456504,175.5581395348837,2.1339157432174805,174.96046448837208,0.18818535909444623,169.99069711627908,0.06028957714279309,169.9744184651163,0.10803549792122318,169.8767437674419,0.7027638881920646,175.02325686046512,0.1291069408637274,174.9930228372093,0.05865245015875453,177.25116425581393,0.20273942576412485,177.00697716279066,0.06953866689632768,175.00465144186046,0.060825495034571395,44.883720930232556,0.8410763404662849,83.3953488372093,1.3663656578203147,10.333953459534882,0.5239835635178421,37.20697673488372,1.899007799819426,17.83953442790698,0.34040987358448327,7.1116279137209295,0.2180348318539661
